year , TotalGreenhouse
2020,3200820.626
2019,3412419.303
2018,3436071.569
2017,3269577.732
2016,3147642.844
2015,3104049.558
2014,3083573.891
2013,2900894.985
2012,2832703.035
2011,2681723.455
2010,2569051.744
2009,2457277.941
2008,2310910.823
2007,2209296.069
2006,2064473.083
2005,1966216.303
2004,1892154.676
2003,1803992.147
2002,1762141.225
2001,1742348.302
2000,1719664.722
1999,1680581.157
1998,1604186.819
1997,1574518.527
1996,1514073.876
1995,1462173.984
1994,1395751.177
1993,1350479.311
1992,1317324.226
1991,1292414.844
1990,1237962.799
